sample_index;real;imag;amplitude;phase_rad
36;-1,4145257473;-1,4087443352;1,9963575602;-2,3582422733
37;-1,4124326706;-1,4453339577;2,0208802223;-2,3446819782
38;-1,4188909531;-1,3927445412;1,9882124662;-2,3654935360
39;-1,4131602049;-1,4105850458;1,9966902733;-2,3571064472
40;-1,4154738188;-1,4325104952;2,0138649940;-2,3502125740
41;-1,4160758257;-1,3996231556;1,9910339117;-2,3620376587
42;-1,4152427912;-1,4213386774;2,0057704449;-2,3540453911
43;-1,4134721756;-1,4231020212;2,0057723522;-2,3527996540
44;-1,4177005291;-1,4002397060;1,9926229715;-2,3623907566
45;-1,4134721756;-1,4231022596;2,0057725906;-2,3527994156
46;-1,4177004099;-1,4237962961;2,0092461109;-2,3540492058
47;-1,4134721756;-1,3970193863;1,9873516560;-2,3620483875
48;-1,4177004099;-1,4347372055;2,0170140266;-2,3502218723
49;-1,4134720564;-1,4108970165;1,9971313477;-2,3571062088
50;-1,4177005291;-1,3915539980;1,9865288734;-2,3655014038
51;-1,4134721756;-1,4463734627;2,0223500729;-2,3446903229
52;-1,4177005291;-1,4119191170;2,0008475780;-2,3582377434
53;-1,4134721756;-1,3863840103;1,9798899889;-2,3658690453
54;-1,4177004099;-1,4897297621;2,0564944744;-2,3314254284
55;-1,4134721756;-1,3409862518;1,9483705759;-2,3825042248
56;-1,4177004099;-1,2560628653;1,8940877914;-2,4165742397
57;-1,4134720564;-1,7959626913;2,2854726315;-2,2375769615
58;-1,4177005291;-1,6573590040;2,1809892654;-2,2784154415
59;-1,4134721756;0,3064201772;1,4463045597;2,9281105995
60;-1,4177005291;1,6827499866;2,2003457546;2,2709143162
61;-1,4134721756;0,3064201176;1,4463045597;2,9281105995
62;-1,4177004099;-1,6573588848;2,1809890270;-2,2784154415
63;-1,4134721756;-1,7959628105;2,2854728699;-2,2375769615
64;-1,4177004099;-1,2560628653;1,8940877914;-2,4165742397
65;-1,4134720564;-1,3409861326;1,9483704567;-2,3825042248
66;-1,4177005291;-1,4897298813;2,0564947128;-2,3314254284
67;-1,4134721756;-1,3863840103;1,9798899889;-2,3658690453
68;-1,4177005291;-1,4119191170;2,0008475780;-2,3582377434
69;-1,4134721756;-1,4463734627;2,0223500729;-2,3446903229
70;-1,4177004099;-1,3915539980;1,9865288734;-2,3655014038
71;-1,4134721756;-1,4108970165;1,9971313477;-2,3571062088
72;-1,4177004099;-1,4347372055;2,0170140266;-2,3502218723
73;-1,4134720564;-1,3970193863;1,9873516560;-2,3620483875
74;-1,4177005291;-1,4237962961;2,0092463493;-2,3540492058
75;-1,4134721756;-1,4231020212;2,0057723522;-2,3527996540
76;-1,4177005291;-1,4002397060;1,9926229715;-2,3623907566
77;-1,4134721756;-1,4231022596;2,0057725906;-2,3527994156
78;-1,4177004099;-1,4237962961;2,0092461109;-2,3540492058
79;-1,4134721756;-1,3970193863;1,9873516560;-2,3620483875
80;-1,4177004099;-1,4347372055;2,0170140266;-2,3502218723
81;-1,4134720564;-1,4108970165;1,9971313477;-2,3571062088
82;-1,4177005291;-1,3915539980;1,9865288734;-2,3655014038
83;-1,4134721756;-1,4463734627;2,0223500729;-2,3446903229
84;-1,4177005291;-1,4119191170;2,0008475780;-2,3582377434
85;-1,4134721756;-1,3863840103;1,9798899889;-2,3658690453
86;-1,4177004099;-1,4897297621;2,0564944744;-2,3314254284
87;-1,4134721756;-1,3409862518;1,9483705759;-2,3825042248
88;-1,4177004099;-1,2560628653;1,8940877914;-2,4165742397
89;-1,4134720564;-1,7959626913;2,2854726315;-2,2375769615
90;-1,4177005291;-1,6573590040;2,1809892654;-2,2784154415
91;-1,4134721756;0,3064201772;1,4463045597;2,9281105995
92;-1,4177005291;1,6827499866;2,2003457546;2,2709143162
93;-1,4134721756;0,3064201176;1,4463045597;2,9281105995
94;-1,4177004099;-1,6573588848;2,1809890270;-2,2784154415
95;-1,4134721756;-1,7959628105;2,2854728699;-2,2375769615
96;-1,4177004099;-1,2560628653;1,8940877914;-2,4165742397
97;-1,4134720564;-1,3409861326;1,9483704567;-2,3825042248
98;-1,4177005291;-1,4897298813;2,0564947128;-2,3314254284
99;-1,4134721756;-1,3863840103;1,9798899889;-2,3658690453
100;-1,4177005291;-1,4119191170;2,0008475780;-2,3582377434
101;-1,4134721756;-1,4463734627;2,0223500729;-2,3446903229
102;-1,4177004099;-1,3915539980;1,9865288734;-2,3655014038
103;-1,4134721756;-1,4108970165;1,9971313477;-2,3571062088
104;-1,4177004099;-1,4347372055;2,0170140266;-2,3502218723
105;-1,4134720564;-1,3970193863;1,9873516560;-2,3620483875
106;-1,4177005291;-1,4237962961;2,0092463493;-2,3540492058
107;-1,4134721756;-1,4231020212;2,0057723522;-2,3527996540
108;-1,4177005291;-1,4002397060;1,9926229715;-2,3623907566
109;-1,4134721756;-1,4231022596;2,0057725906;-2,3527994156
110;-1,4177004099;-1,4237962961;2,0092461109;-2,3540492058
111;-1,4134721756;-1,3970193863;1,9873516560;-2,3620483875
112;-1,4177004099;-1,4347372055;2,0170140266;-2,3502218723
113;-1,4134720564;-1,4108970165;1,9971313477;-2,3571062088
114;-1,4177005291;-1,3915539980;1,9865288734;-2,3655014038
115;-1,4134721756;-1,4463734627;2,0223500729;-2,3446903229
116;-1,4177005291;-1,4119191170;2,0008475780;-2,3582377434
117;-1,4134721756;-1,3863840103;1,9798899889;-2,3658690453
118;-1,4177004099;-1,4897297621;2,0564944744;-2,3314254284
119;-1,4134721756;-1,3409862518;1,9483705759;-2,3825042248
120;-1,4177004099;-1,2560628653;1,8940877914;-2,4165742397
121;-1,4134720564;-1,7959626913;2,2854726315;-2,2375769615
122;-1,4177005291;-1,6573590040;2,1809892654;-2,2784154415
123;-1,4134721756;0,3064201772;1,4463045597;2,9281105995
124;-1,4177005291;1,6827499866;2,2003457546;2,2709143162
125;-1,4134721756;0,3064201176;1,4463045597;2,9281105995
126;-1,4177004099;-1,6573588848;2,1809890270;-2,2784154415
127;-1,4134721756;-1,7959628105;2,2854728699;-2,2375769615
128;-1,4177004099;-1,2560628653;1,8940877914;-2,4165742397
129;-1,4134720564;-1,3409861326;1,9483704567;-2,3825042248
130;-1,4177005291;-1,4897298813;2,0564947128;-2,3314254284
131;-1,4134721756;-1,3863840103;1,9798899889;-2,3658690453
132;-1,4177005291;-1,4119191170;2,0008475780;-2,3582377434
133;-1,4134721756;-1,4463734627;2,0223500729;-2,3446903229
134;-1,4177004099;-1,3915539980;1,9865288734;-2,3655014038
135;-1,4134721756;-1,4108970165;1,9971313477;-2,3571062088
136;-1,4177004099;-1,4347372055;2,0170140266;-2,3502218723
137;-1,4134720564;-1,3970193863;1,9873516560;-2,3620483875
138;-1,4177005291;-1,4237962961;2,0092463493;-2,3540492058
139;-1,4134721756;-1,4231020212;2,0057723522;-2,3527996540
140;-1,4177005291;-1,4002397060;1,9926229715;-2,3623907566
141;-1,4134721756;-1,4231022596;2,0057725906;-2,3527994156
142;-1,4177004099;-1,4237962961;2,0092461109;-2,3540492058
143;-1,4134721756;-1,3970193863;1,9873516560;-2,3620483875
144;-1,4177004099;-1,4347372055;2,0170140266;-2,3502218723
145;-1,4134720564;-1,4108970165;1,9971313477;-2,3571062088
146;-1,4177005291;-1,3915539980;1,9865288734;-2,3655014038
147;-1,4134721756;-1,4463734627;2,0223500729;-2,3446903229
148;-1,4177005291;-1,4119191170;2,0008475780;-2,3582377434
149;-1,4134721756;-1,3863840103;1,9798899889;-2,3658690453
150;-1,4177004099;-1,4897297621;2,0564944744;-2,3314254284
151;-1,4134721756;-1,3409862518;1,9483705759;-2,3825042248
152;-1,4177004099;-1,2560628653;1,8940877914;-2,4165742397
153;-1,4134720564;-1,7959626913;2,2854726315;-2,2375769615
154;-1,4177005291;-1,6573590040;2,1809892654;-2,2784154415
155;-1,4134721756;0,3064201772;1,4463045597;2,9281105995
156;-1,4177005291;1,6827499866;2,2003457546;2,2709143162
157;-1,4134721756;0,3064201176;1,4463045597;2,9281105995
158;-1,4177004099;-1,6573588848;2,1809890270;-2,2784154415
159;-1,4134721756;-1,7959628105;2,2854728699;-2,2375769615
160;-1,4177004099;-1,2560628653;1,8940877914;-2,4165742397
161;-1,4134720564;-1,3409861326;1,9483704567;-2,3825042248
162;-1,4177005291;-1,4897298813;2,0564947128;-2,3314254284
163;-1,4134721756;-1,3863840103;1,9798899889;-2,3658690453
164;-1,4177005291;-1,4119191170;2,0008475780;-2,3582377434
165;-1,4134721756;-1,4463734627;2,0223500729;-2,3446903229
166;-1,4177004099;-1,3915539980;1,9865288734;-2,3655014038
167;-1,4134721756;-1,4108970165;1,9971313477;-2,3571062088
168;-1,4177004099;-1,4347372055;2,0170140266;-2,3502218723
169;-1,4134720564;-1,3970193863;1,9873516560;-2,3620483875
170;-1,4177005291;-1,4237962961;2,0092463493;-2,3540492058
171;-1,4134721756;-1,4231020212;2,0057723522;-2,3527996540
172;-1,4177005291;-1,4002397060;1,9926229715;-2,3623907566
173;-1,4134721756;-1,4231022596;2,0057725906;-2,3527994156
174;-1,4177004099;-1,4237962961;2,0092461109;-2,3540492058
175;-1,4134721756;-1,3970193863;1,9873516560;-2,3620483875
176;-1,4177004099;-1,4347372055;2,0170140266;-2,3502218723
177;-1,4134720564;-1,4108970165;1,9971313477;-2,3571062088
178;-1,4177005291;-1,3915539980;1,9865288734;-2,3655014038
179;-1,4134721756;-1,4463734627;2,0223500729;-2,3446903229
180;-1,4177005291;-1,4119191170;2,0008475780;-2,3582377434
181;-1,4134721756;-1,3863840103;1,9798899889;-2,3658690453
182;-1,4177004099;-1,4897297621;2,0564944744;-2,3314254284
183;-1,4134721756;-1,3409862518;1,9483705759;-2,3825042248
