sample_index;real;imag;amplitude;phase_rad
300;-1,5657273531;1,1640257835;1,9510147572;2,5023026466
301;-0,7069652677;1,2996828556;1,4795186520;2,0689845085
302;0,4256555438;1,6740376949;1,7273056507;1,3218040466
303;1,4155485630;1,9578478336;2,4159772396;0,9447920918
304;1,7608131170;1,7662328482;2,4940011501;0,7869347930
305;1,2112847567;0,9244087934;1,5237264633;0,6518729329
306;0,0053181406;-0,3447347879;0,3447757959;-1,5553708076
307;-1,2224282026;-1,4811604023;1,9204599857;-2,2607855797
308;-1,8044530153;-1,8787647486;2,6049580574;-2,3360214233
309;-1,4449467659;-1,2635283470;1,9194726944;-2,4230763912
310;-0,3683907390;0,0810908526;0,3772101402;2,9249260426
311;0,8573783636;1,4180189371;1,6570682526;1,0269786119
312;1,7008070946;1,9669487476;2,6003139019;0,8578337431
313;1,9575452805;1,3767824173;2,3932225704;0,6129512787
314;1,7869328260;-0,0279257558;1,7871509790;-0,0156264864
315;1,4984357357;-1,4261252880;2,0686087608;-0,7606779933
316;1,3118660450;-1,9879151583;2,3817639351;-0,9874786735
317;1,2576346397;-1,3848874569;1,8707106113;-0,8335168362
318;1,2650474310;0,0175313950;1,2651687860;0,0138574038
319;1,2895152569;1,3846806288;1,8921390772;0,8209697008
320;1,3633289337;1,9282093048;2,3614947796;0,9553584456
321;1,5243436098;1,3715926409;2,0505826473;0,7327003479
322;1,7133709192;0,0795178488;1,7152150869;0,0463768989
323;1,7621408701;-1,2021087408;2,1331212521;-0,5986703038
324;1,5013552904;-1,7999619246;2,3439135551;-0,8756034374
325;0,8946335316;-1,4685561657;1,7196006775;-1,0236449242
326;0,0753206909;-0,4518505335;0,4580852687;-1,4056212902
327;-0,7443789244;0,7381767631;1,0483343601;2,3603777885
328;-1,4047737122;1,6424512863;2,1612577438;2,2783539295
329;-1,8530688286;2,0610589981;2,7716112137;2,3031060696
330;-2,0831499100;2,0485899448;2,9216833115;2,3645586967
331;-2,0383980274;1,7647736073;2,6961996555;2,4280171394
332;-1,6002373695;1,3270534277;2,0789012909;2,4492480755
333;-0,7156605124;0,7609938383;1,0446442366;2,3255040646
334;0,4412956238;0,0668856055;0,4463356435;0,1504215598
335;1,4390032291;-0,7042422295;1,6020883322;-0,4551283717
336;1,7763260603;-1,4186885357;2,2733261585;-0,6739260554
337;1,2024301291;-1,9117726088;2,2584757805;-1,0093538761
338;-0,0458500758;-2,0620143414;2,0625240803;-1,5930281878
339;-1,3133105040;-1,8528522253;2,2710890770;-2,1874070168
340;-1,8792735338;-1,3614393473;2,3206005096;-2,5146450996
341;-1,3993088007;-0,7088586688;1,5686126947;-2,6726968288
342;-0,1270630360;0,0025180457;0,1270879805;3,1217780113
343;1,2187912464;0,7017390728;1,4063746929;0,5224100947
344;1,8865276575;1,3359829187;2,3116741180;0,6161884069
345;1,5280228853;1,8353416920;2,3881652355;0,8765175939
346;0,3794419467;2,1035249233;2,1374735832;1,3923316002
347;-0,9355005622;2,0273790359;2,2328071594;2,0031175613
348;-1,8061890602;1,5357519388;2,3708338737;2,4369406700
349;-1,9854692221;0,6683544517;2,0949428082;2,8168842793
350;-1,6619696617;-0,3701756001;1,7026958466;-2,9224369526
351;-1,2662152052;-1,2458333969;1,7763450146;-2,3643078804
352;-1,1491883993;-1,6106910706;1,9786256552;-2,1905090809
353;-1,3706969023;-1,2775266171;1,8737353086;-2,3913621902
354;-1,7010639906;-0,3426484466;1,7352310419;-2,9428207874
355;-1,8209408522;0,8135641813;1,9944201708;2,7214176655
356;-1,5356388092;1,7071031332;2,2961680889;2,3033673763
357;-0,8765226603;2,0115516186;2,1942269802;1,9817323685
358;-0,0335999243;1,7556039095;1,7559254169;1,5899326801
